,0,1,2,3,4,5,,,,,,
10,지금 칠월에 약속을 몇 개나 잡으셨는지 말쑴해 주실 수 있나요?,식사 걸러봤자 살 빠지지도 않으니까 거르지 마세요.,0,0.380799055,-250.3165894,-11.31440067,,,,,,
11,2층 부엌과 거실 시설도 굉장히 좋고 히터도 잘 작동합니다.,주방시설 상태도 좋고 욕실도 깨끗합니다.,0.7,0.764686763,-162.886322,-7.43390131,,,,,,
12,오후 4시쯤에 정원은 너무나 아름다웠어요!,완벽에 가까울만큼 사진과 똑같은 장소였어요!,0,0.53165257,-231.4723206,-10.33145046,,,,,,
13,다만 소파 침대에 얼룩과 먼지가 조금 있었습니다,"다만, 관광지들과 거리가 조금 있습니다.",1,0.229474604,-290.6540527,-13.09813881,,,,,,
14,앞으로 늦지 말고 회사 상사와 약속에는 먼저 나가야해.,약속 일정 변경은 당일이 아니라 미리미리 얘기하도록 하세요.,1.3,0.588738203,-210.2516632,-9.630031586,,,,,,
15,신주쿠에서 딱 두 정거장 떨어진 히가시나카노 역에서 금방 갈 수 있구요,신주쿠에서 두 정거장만 가면 히가시나카노 역에 도착할 수 있어요.,3.8,0.965452433,-64.86549377,-2.96628809,,,,,,
16,시끄러운 런던 중심가보다 훨씬 좋습니다.,시끌벅적한 런던 시내보다 훨씬 좋아요.,4.1,0.847253919,-132.310791,-6.030848026,,,,,,
17,시장에서 어떤 거 사오려고 하시나요?,시장에서 무슨 물건 사 오게?,3.8,0.7823838,-158.4949341,-7.095787048,,,,,,
18,에어컨 쓰면 안된다고 경고했어.,에어컨 쓰면 안 된다,3.7,0.849229097,-127.2207031,-5.842480659,,,,,,
19,여행을 마치고 나서도 호스트와 체코가 생각이 납니다.,먼지 한 톨 없고 화장실도 광이 납니다.,0,0.355118275,-260.2814026,-11.81464481,,,,,,
20,욕실 수압도 세고 따뜻한 물도 잘 나와요.,수압도 세고 따뜻한 물도 아주 잘 나옵니다.,4,0.922215104,-97.94024658,-4.486382008,,,,,,
21,가급적 식사는 거르지 않도록 해라.,오늘 알람 몇 시로 예약해놨어?,0,0.323257983,-274.0735779,-12.48905849,,,,,,
22,555조8000억원으로 편성한 내년도 예산안은 국난극복과 선도국가로 가기 위한 의지를 담았다는 것이 문 대통령의 설명이다.,"마지막으로, 국민의 안전한 삶과 튼튼한 국방, 평화를 향한 한결같은 의지를 담았습니다.",0.3,0.553059578,-225.7292786,-10.27564716,,,,,,
23,방에 110볼트 컨버터 3개 있습니다.,화장실에 수건이랑 샴푸도 여러개 있었습니다.,0,0.383576751,-268.2136841,-12.32380104,,,,,,
24,샤워기도 수압이 너무 약해서 불편해요.,샤워는 수압이 너무 약해서 불편해요.,4.3,0.982047737,-46.96936035,-2.169824123,,,,,,
25,그리고 숙소가 예뻐요 그냥 너무너무 예뻐요.,그리고 무엇보다 방이 너무예쁘고 집전체가 너무너무 예뻐요.,2.7,0.768943191,-162.2172852,-7.34050703,,,,,,
26,"유럽연합(EU) 등에서 사용 중인 녹색금융의 개념과 분류기준 등을 참고해 우리나라 실정에 맞는 한국형 녹색금융 분류체계를 마련, 보급한다.",아울러 요양병원에서는 입원환자 중 원인미상의 폐렴환자를 격리해 진단검사를 실시한다.,0,0.148880422,-326.0042114,-14.83547592,,,,,,
27,영하일까? 영상일까? 내일 기온은.,내일 기온은 영하야 영상이야?,4,0.874113441,-117.3140869,-5.353624344,,,,,,
28,"한편 이날 행사 이후 제주에너지공사, 한국중부발전, 현대자동차, 수소융합얼라이언스추진단 등 4개 기관은 ‘제주 그린수소 전주기 실증 프로젝트를 위한 업무협약’을 체결했다.","한편, 환경부와 한국환경공단은 15일 오전 서울에 위치한 온실가스종합정보센터 회의실에서 선정된 기업과 ‘스마트 생태공장 구축사업의 성공적 추진을 위한 사업계획 협약’을 체결했다.",0.8,0.637465477,-207.0482178,-9.455629349,,,,,,
29,다만 흡연자가 많이 있어 비흡연자가 식사하기에 어려울 수 있는 것을 참고하세요.,다만 머무는 날짜와 인원수에 비례해서 도시세 올라가는 건 참고하세요!,0,0.38133961,-253.9243164,-11.43454742,,,,,,
30,어린이 장화의 가격은?,언제야? 강원영서에 소나기 오는 날.,0,0.311262906,-280.7080078,-12.96444893,,,,,,
31,특히 ‘유전자 증폭방식’ 검사결과는 작업 과정의 작은 차이에도 영향을 받을 수 있어 이번 국제표준 제정이 코로나19 등 감염병 진단검사의 정확도 향상에 기여할 것으로 기대된다.,"‘사업운영에 막대한 지장’ 여부는 휴가 청구자 업무의 성질, 작업의 바쁜정도, 같은 시기에 휴가 청구자 수 등을 고려하여 판단",0,0.122311354,-321.7789001,-14.63040447,,,,,,
32,우리 경제의 현재와 미래에 대한 국내외 투자자들의 평가가 어느 때보다 긍정적이라는 것을 주가라는 객관적 지표로 확인하고 있는 것입니다.,자발적으로 재난지원금을 기부하는 움직임이 확산되고 있는 것은 좋은 일입니다.,0,0.318852127,-264.4061279,-12.04172516,,,,,,
33,"위치, 청결, 가격, 호스트 모두 좋아요.","위치, 청결도, 가격, 호스트 모두 좋습니다.",4.8,0.95616132,-68.38393402,-3.129081011,,,,,,
34,몽트뢰일정이길고여유로우신분들은꼭이집으로가세요.,특히 이 호텔에 묶고싶은 한국인들은 보세요.,0.2,0.393731892,-272.142395,-12.24271679,,,,,,
35,"2020년 1월말 기준 소금, 후추, 수프 스탁, 쌀, 티백이 있었어요.","1,2,3호선 다 이용가능한 지하철역이 가까이 있어요.",0,0.193552852,-303.6685791,-13.68225765,,,,,,
36,"이번 제5기 위원회는 국내 및 국제적으로 지식재산 연구·활동 경험이 풍부한 정상조 민간위원장을 포함, 주요 분야에서 전문 식견이 높은 위원 중심으로 구성됐다.",용산공원 조성을 본격 추진할 제1기 용산공원조성추진위원회 민간공동위원장으로 유홍준 명지대 석좌교수가 임명됐다.,0,0.362876713,-264.3735962,-12.21689415,,,,,,
37,"숙소의 위치나 청결도, 편리함 모두 만족스러웠습니다.","숙소의 위치, 청결도, 편리함 모두 만족스러웠습니다.",5,0.992271066,-28.58662415,-1.295544267,,,,,,
38,그래도 세탁기와 건조기 사용이 좋았어요,세탁기가 완전건조 세탁기라는 게 가장 좋았어요.,2.8,0.867380261,-123.4514465,-5.545744419,,,,,,
39,"숙소는 도보로 오페라, 라파예트 등 주요관광지를 다니기에 부족함이 없었어요.",다음날아침 도보로 주요관광지에 도착할 수 있었습니다.,0.7,0.685181677,-183.5101624,-8.297401428,,,,,,
40,한낮에 내륙 중심은 몇 도 인가요?,지진났을 때 건물 엘리베이터 사용하지마.,0,0.295975268,-288.0119019,-12.96853447,,,,,,
41,다음 주에는 언제 비가 와?,미세먼지 높을 때는 운동하지 마라.,0,0.412715197,-250.0456085,-11.35615063,,,,,,
42,부디 다음으로 호스팅을 할 때는 게스트를 보다 더 배려해주시길 바랍니다.,아니라면 다른 곳을 알아보시길 바랍니다.,0.5,0.392860413,-243.5487366,-10.9644022,,,,,,
43,에어컨 짧게 쓰지 말고 한 번에 길게 틀어 놔.,에어컨은 짧게 쓰고 자주 끄지는 마,3.2,0.881665587,-121.3259583,-5.409348011,,,,,,
44,좋은숙소를 이용할 수 있어서 감사합니다.,좋은 숙소에 감사드립니다.,3.7,0.820433557,-141.1523285,-6.439607143,,,,,,
45,이번 전략은 지난 7월 한국판 디지털 뉴딜의 일환으로 인공지능·데이터 기반의 스마트제조 미래 청사진을 제시한 ‘스마트제조 2.0 전략’에 대한 후속 실행 전략이다.,이번 누리집은 기존에 기획재정부에서 운영 중이었던 한국판 뉴딜 마이크로 페이지를 관계부처 합동 한국판뉴딜 통합 누리집으로 확대·개편한 것이다.,0.2,0.540145636,-235.8395996,-10.58431244,,,,,,
46,다른 객실 인원은 조용했으나 바닥 소리가 큽니다.,단점은 창가쪽으로 침대 헤드가 있어서 차 지나가는 소리가 다 들립니다.,0.7,0.572133303,-217.0611267,-9.764279366,,,,,,
47,더구나 샤워시 몸을 양 팔꿈치를 올리기 힘들정도의 좁은 공간이 나에게 고문 이었어요!,저렴한 가격에 믿기 힘들정도로 훌륭한 공간이었어요,0.2,0.425673127,-253.4077911,-11.42467308,,,,,,
48,신속한 응답과 친절한 배려 모든부분에서 만족스러웠다.,위치를 제외한 나머지 모든 부분도 매우 만족스러웠습니다.,1.7,0.485743523,-233.9009094,-10.39442444,,,,,,
49,"한층에 룸이 5개씩, 총 10 개 정도인 것 같은데 한국의 고급 고시텔 느낌일까요.",집에 샤워부스랑 변기 다 있는 화장실 두 개에 방이 총 4개인 것 같았어요.,0.8,0.527836919,-238.8013458,-10.83232498,,,,,,
50,마치 영화에 나오는 프랑스 장면들 같았어요.,마치 영화 속의 프랑스 장면 같았어요.,4.7,0.966846108,-57.85399246,-2.628654003,,,,,,
51,그러니 싱글 방을 이용하시려는 분들은 1번방이 더 좋을 것 같아요.,그래서 저는 1인실을 이용하고자 하는 분들에게 1호실이 더 좋을 것 같아요.,3.2,0.808560669,-145.9273224,-6.59324789,,,,,,
52,화장실도 깨끗하고 따뜻한 물도 잘나와요.,욕실은 깨끗하고 따뜻한 물이 잘 나옵니다.,4.1,0.87309444,-122.1677094,-5.579147339,,,,,,
53,호스트와의 연락은 전화번호나 메세지 보다 이메일이 가장 빠르고 정확합니다!,호스트와의 연락처는 전화 번호나 메시지보다 빠르고 정확합니다!,3.5,0.904616177,-105.3600159,-4.814069271,,,,,,
54,멜버른을 다시 방문하면 꼭 이숙소를 쓸것입니다.,"만약 제가 멜버른을 다시 방문한다면, 저는 반드시 이 숙소를 이용할 것입니다.",3.8,0.880396545,-111.7007065,-5.131536961,,,,,,
55,"정부는 연말까지 관광진흥법을 개정, 내국인 대상 도시민박 영업을 최대 180일 허용할 방침이다.","국공노 소속 28개 지부는 조합원을 상대로 온누리상품권 1인 월 10만원 구매와 조기 사용, 식당·미장원 등 단골집에서 선결제를 독려할 방침이다.",0,0.284812331,-293.2012939,-13.16074371,,,,,,
56,그 가까움을 더욱 가깝게 이어주는 우리 기업인 여러분들이 바로 그 신뢰를 키우는 주역입니다.,"여러분, 우리 기업인들은 그 신뢰의 주요 기여자들입니다.",2.9,0.717902064,-174.7850647,-7.876557827,,,,,,
57,위치는 세비야 중심은 아니지만 세비야 대성당이나 알카사르 등 도보로 이동 가능합니다.,위치는 세비야 중심지는 아니지만 세비야 대성당이나 알카사르까지 걸어갈 수 있습니다.,4.3,0.971853614,-56.57276154,-2.579803467,,,,,,
58,미세먼지 마스크 제조하는 업체는 어디입니까?,태풍 오면 배 타지 말아라.,0,0.152559042,-310.0698242,-14.16539001,,,,,,
59,개선문과 샹젤리제 거리까지 걸어갈 수 있어요,여러분은 개선문과 샹젤리제까지 걸어갈 수 있습니다.,4.5,0.941350639,-86.2381897,-3.904845238,,,,,,
60,네이트 메일이 지원하지 않는 첨부파일 종류는?,학회 홍보메일이랑 저널 홍보메일을 비교했을 때 뭐가 더 자주 와?,0.4,0.461408079,-243.2402344,-11.10723782,,,,,,
61,무료로 제공되는 네스프레소와 함께여는 포르투의 아침은 정말 최고였습니다.,네스프레소와 건조기능이있는 세탁기 정말 최고였구요,1,0.619906902,-213.0210876,-9.749271393,,,,,,
62,담배연기 냄새가 심해서 아이들과 머물기 힘듭니다.,아이들과 가족여행하기 좋은 숙소였습니다.,1,0.44143641,-244.6352844,-11.37974453,,,,,,
63,또한 숙소내부는 사진보다 훨씬 좋았습니다.,"또한, 그 숙소의 내부는 사진보다 훨씬 더 좋았습니다.",5,0.925787508,-88.70948029,-3.976480722,,,,,,
64,가족단위 투숙객들에게 특히 좋을 것 같습니다.,그것은 특히 가족 손님들에게 좋을 것입니다.,3.8,0.708182275,-169.5664215,-7.723773479,,,,,,
65,역에서 거리가 있지만 개인실에 편안한 공간입니다.,세비야 중심에서 약간 거리가 있지만 가격대비 매우 훌륭한 숙소 입니다.,1,0.491892934,-244.1597748,-10.89974117,,,,,,
66,파리숙소들이 워낙 비싼데 나쁘지 않은가격에 쏘쏘한 집입니다.,"파리 숙박 시설은 매우 비싸지만, 가격도 나쁘지 않고 아주 작은 집이에요.",3.8,0.785565972,-156.7807922,-7.114345551,,,,,,
67,그리고 항상 빠른 피드백을 주었습니다.,그리고 그들은 항상 우리에게 빠른 피드백을 주었습니다.,3.9,0.921000719,-89.18392944,-4.127001762,,,,,,
68,대학 후배 결혼식이니까 늦지 말거라.,예전처럼 약속시간을 까먹지말고 지키기위해 노력합시다.,0.2,0.32764852,-274.0212402,-12.37005806,,,,,,
69,당신의 트위치 계정은 트위터보다는 페이스북과 연동하는 것이 바람직합니다.,첨부파일 최대 용량이 지메일은 어떻게 되나요?,0,0.366032839,-275.0640259,-12.45685863,,,,,,
70,삼십도 이상은 안됩니다. 겨울철 실내온도.,겨울철 실내온도는 삼십도 이상으로 하면 안됩니다.,4.4,0.944979787,-80.22187805,-3.697729826,,,,,,
71,"위치와 청결, 시설은 정말 훌륭했습니다.","위치, 청결, 편의시설 모든 것이 만족스러웠습니다.",3.4,0.885078549,-108.8328705,-4.901394844,,,,,,
72,최근 거래처 메일에 가장 많이 출현한 단어는?,교수님에게 메일을 보냈을 때랑 조교님께 보냈을 때랑 누가 더 답변을 주셔?,0.6,0.453780413,-240.082428,-10.99121571,,,,,,
73,"교통위치좋고 아침제공서비스및 청결,친절함","전반적으로 교통과 식사가 편리한 위치에 있고, 주인이 친절합니다.",2.6,0.59361738,-219.0597534,-9.760585785,,,,,,
74,영화는 시간이 다되어서 취소기 보단 최소 하루 전에 취소하렴.,앞으로 영화를 취소하실 때 당일에 하지 마시고 최소 하루 전에 해주시길 바랍니다.,3.2,0.82954371,-138.4506683,-6.259800434,,,,,,
75,엘리베이터가 2인승 그것도 좀 큰 백팩이 있으면 한명밖에 못들어갑니다.,"2인용 엘리베이터, 그리고 큰 배낭이 있으면 한 사람만 탈 수 있습니다.",3.7,0.842715561,-138.4022522,-6.211847305,,,,,,
76,"언제 놀러가실건가요, 금요일과 토요일 중에 골라주시겠습니까?",올해에 예정되어 있는 연휴들 리스트 각각 언제인지 알려줘.,0.2,0.53260237,-227.5323944,-10.15880775,,,,,,
77,자원봉사 다음주 어느 시간으로 잡혔어?,자원봉사가 다음주 어느 시간에 있는데?,4,0.89755106,-105.5821228,-4.815509796,,,,,,
78,"우리 문화의 정체성과 다양성을 보존하기 위해 국어문화, 전통문화, 기초예술, 인디문화 등을 계속 지원한다.","이와 함께 중소기업의 다양한 연구개발 수요를 충족하기 위해 18개 사업을 신설, 2807억원을 지원한다.",0.3,0.394015431,-271.190918,-12.40007877,,,,,,
79,이 부분은 피렌체 난방 정책상 어쩔수 없는 부분이라고 합니다.,와이키키 지역이 그렇듯이 좀 시끄러운 것은 어쩔 수 없을 듯합니다.,0.3,0.455418587,-227.8781128,-10.26605415,,,,,,
80,"호텔보다 더 좋은점은 올리브유, 소금, 식기구 등을 호스트가 제공한다는 점이에요!",이곳은 호스트가 너무 친절한 곳이에요!,0.7,0.543215871,-223.0162964,-10.15579987,,,,,,
81,집안에 그 조명등 있는거 밝기가 얼마나 되는지 어떻게 알 수 있죠,집안에 그 조명등 있잖아 밝기가 어느 정도 인지 어떻게 알 수 있지,4.4,0.964813173,-66.3908844,-3.030180454,,,,,,
82,혹시 약속을 변경하실 때에는 그냥 변경하지 마시고 삼십분 전에 그 사유를 공지해주십시오.,오늘 언제 만날 수 있어?,0,0.361755967,-254.7224426,-11.7891922,,,,,,
83,너는 안방하고 거실 중에 어디에 로봇 청소기를 작동시키고 싶어?,안방하고 거실 중에 너가 로봇청소기를 틀고 싶은 곳은 어딜까?,3.5,0.904701471,-109.3936615,-4.927091599,,,,,,
84,집 바로 앞에서 트램타고 구시가지까지 한번에가는데 10분도 안걸려요!,심지어 1분 앞 정류장에서 바다까지 한 번에 20분 정도 걸렸어요!,0.8,0.689910889,-189.7092743,-8.55598259,,,,,,
85,덕분에 바로셀로나 곳곳을 하루종일 잘 다녔습니다.,당신 덕분에 하루 종일 바르셀로나 주변을 돌아다녔어요.,3.7,0.80651474,-149.0967407,-6.711108685,,,,,,
86,"총 27박 28일을 여기서 지냈는데요,",여기서 총 27박 28일을 보냈어요.,4.3,0.936934233,-80.17657471,-3.707123518,,,,,,
87,에어비앤비랑 트립닷컴이랑 비교했을 때 광고 메일이 더 많은 곳은?,메일로 보내는 광고 중 에어비앤기 꺼가 더 많아 트립닷컴꺼가 더 많아?,3.3,0.865611196,-126.9664612,-5.728117943,,,,,,
88,땡볕엔 피부노출 금지야.,지진 시에는 엘리베이터 사용하지 마세요. 건물 계단을 이용합시다.,0,0.287202835,-284.5515747,-13.01477718,,,,,,
89,"다중이용시설 중 중점관리시설은 이용 인원의 제한을 확대하고, 클럽에서의 춤추기, 노래연습장에서 음식 섭취 금지 등 위험도가 높은 활동을 금지한다.","다중이용시설 중 집중관리시설은 이용자수 제한을 확대하고, 클럽에서 춤을 추거나 노래방에서의 음식 섭취를 금지하는 등 고위험활동을 금지하고 있습니다.",4,0.912772536,-105.6345215,-4.747677326,,,,,,
90,효율이 더 나은게 선풍기였나요 에어컨이었나요?,안방이랑 작은방 중에서 자기 편한 곳이 어디야?,0.2,0.479017735,-241.0687408,-10.91518211,,,,,,
91,학회 메일을 더 이상 그만 받고 스팸처리하고 싶은데 방법을 알려줘,어떻게 하면 학회 메일을 스팸처리할 수 있어?,3.6,0.8225348,-140.8471069,-6.312184334,,,,,,
92,언어 소통도 친절함도 모든것이 너무 좋았읍니다.,저는 언어소통과 친절함에 대한 모든 것을 사랑했습니다.,3.5,0.723988056,-167.7136993,-7.660044193,,,,,,
93,장점 포르투 여행하기에 위치가 정말 좋다.,장점 포르토에 여행하기에 좋은 장소입니다.,3.3,0.730318189,-176.2021484,-7.967843056,,,,,,
94,세계 각국의 발표에서 가장 눈에 띄는 단어는 ‘신뢰’였다.,이번 발표에서 가장 눈에 띄는 단어는 '신뢰'였습니다.,3.5,0.902433872,-101.0232162,-4.551502228,,,,,,
95,칠월 약속 리스트가 몇 개야?,어디서 봐야 처음 볼 때 괜찮지?,0,0.371135831,-261.0159302,-11.76237297,,,,,,
96,저는 여기 숙소때문에 다시 뉴욕에 오고 싶을정도예요!,마드리드에 다시 방문한다면 무조건 이 숙소에 다시 묵을거예요.,1.4,0.721464336,-169.5864258,-7.782443047,,,,,,
97,이런 어처구니 없는 일은 처음 당하죠.,전에 이런 걸 본 적이 없어요.,2.1,0.581074834,-199.1980591,-8.908830643,,,,,,
98,샤워할때 좁은 공간에 샤워커텐이 몸에 달라붙어 짜증이 많이난다.,체크아웃 할 때 직접 봤기 때문에 믿음이 갔습니다.,0,0.311560869,-283.4288635,-12.78791904,,,,,,
99,그 기차 타서 아토차역 한방에 갑니다!,방은 2명이서 쓰기에 조금 좁지만 집이 너무 예뻐요!,0,0.273715138,-292.3238525,-13.23474979,,,,,,
100,지난 9월 세계경제포럼(WEF)의 관광경쟁력 평가 결과에서도 전 세계 140개국 중 16위로 역대 최고 순위를 달성했다.,"전 세계적으로 92개국이,?경제협력개발기구(OECD) 회원국 중에서는 우리나라와 터키를 제외한 34개국이 도입했다.",0.7,0.48411262,-235.5626068,-10.76707935,,,,,,
101,알려줘. 손선풍기 판매하는 사이트.,어느 사이트에서 손선풍기 판매하고 있어?,3.5,0.83683157,-135.783432,-6.187699318,,,,,,
102,위치 또한 매우 좋아서 이동에 매우 편리합니다.,위치도 아주 좋아서 이동하기에 아주 편리해요.,4.5,0.911059737,-98.46612549,-4.412985325,,,,,,
103,그래서 의사소통할 때 조금 오래 걸릴 수 있습니다!,로컬처럼 생활할수있다는 장점이 있습니다.,0,0.408721566,-244.3113556,-11.06507492,,,,,,
104,와이파이가 2층에서 좀 느리지만 사용할 만 합니다.,2층은 와이파이가 좀 느리긴 하지만 사용하기에 좋아요.,3.7,0.951759577,-71.35275269,-3.239038706,,,,,,
105,집밖은 보지말고 집안 습도 확인 부탁해,"손님, 식기 세척기를 보시나요 식기 건조기를 보시나요?",0,0.471031189,-241.1788635,-11.08632469,,,,,,
106,압류 부동산 매각을 보류하는 등 체납처분의 집행도 최장 1년까지 유예 조치하기로 했다.,체납처분의 집행도 압류된 부동산의 매매 정지를 포함해 최대 1년간 유예될 예정입니다.,3.3,0.911851406,-105.6927795,-4.780398369,,,,,,
107,용량이 더 큰 메일을 보낸게 거래처인가요 부장님인가요?,거래처 메일이 차지하는 용량이랑 부장님꺼 중에 뭐가 더 크지?,3.5,0.795649886,-155.4424286,-7.048484802,,,,,,
108,"수입금액 100억~500억원(0.2→0.25%), 500억원 초과(0.03→0.06%)로 각각 높아진다.","수입금액별로 100억원 이하는 현재 0.3%까지 접대비를 비용으로 인정했지만, 0.35%로 조정된다.",1.5,0.586518466,-219.6337585,-9.843015671,,,,,,
109,게스트와 이뤄지는 확실한 커뮤니케이션과 문제점에 대한 케어는 호텔수준의 만족감을 느꼈습니다.,손님과의 원활한 소통과 배려로 호텔 차원에서 만족감을 느꼈습니다.,3.2,0.725069165,-169.2377625,-7.732230186,,,,,,
110,송도는 우리나라 최초로 ‘스마트시티’가 시작된 곳이며 끊임없는 실험과 진화가 거듭된 혁신 도시입니다.,"송도는 ""스마트 시티""가 시작된 국내 최초의 도시이며 끊임없는 실험과 진화를 통해 혁신적인 도시입니다.",4.4,0.969081581,-61.14786148,-2.780281305,,,,,,
111,두오모와 산타 노빌라역 등 모든 관광지와 가깝습니다,아크로 폴리스 및 주요 관광지와 가깝습니다.,1.3,0.557254195,-228.6044769,-10.21150303,,,,,,
112,발코니쪽 창문은 3개중에 한개만 열수있습니다.,많은 장비를 구매할 필요 없이 즐길 수 있습니다.,0,0.154932261,-300.7385864,-13.82069111,,,,,,
113,공수처와 같은 기관은 우리나라에만 있나요?,‘규제자유특구’ 추가 지정 계획이 있나요?,0,0.279399395,-295.3340759,-13.31403446,,,,,,
114,사장님과의 약속에 절대로 늦게 가지 말고 미리 가셔야 합니다.,레포트는 늦게 제출하면 점수 다 깎이니까 늦지 않게 내세요.,0.5,0.428127527,-251.693924,-11.45495033,,,,,,
115,특히 주방과 편안한 침실 또 한 완벽했습니다,특히 부엌과 편안한 침실은 완벽했습니다.,4.3,0.906545401,-102.6013947,-4.603289604,,,,,,
116,약속을 바꿀 때에는 갑자기 말하지 말고 적어도 하루 전에 공지하세요.,약속을 바꿀거면 당일에 말하지 말고 적어도 하루 전에 알려줘.,3.8,0.866880238,-120.3490753,-5.492604733,,,,,,
117,계단이랑 문 앞에선 고양이 오줌 냄새가 약간 나요,별류에유 문앞의 의자와 책상  고양이가 너무 귀엽습니다,0.8,0.611287892,-215.5003662,-9.707945824,,,,,,
118,약속장소가 어디로 바뀌었습니까?,늦으면 큰일나니까 절대 늦으면 안돼.,0,0.240750074,-282.473877,-12.61105824,,,,,,
119,저희에게 모든 부분에서 완벽했던 숙소였어요.,그것은 모든 면에서 우리에게 완벽한 숙소였습니다.,3.7,0.907305837,-100.2910156,-4.509845734,,,,,,
120,이들 사이트들은 한시적으로 5월 말까지 일반 학생들도 스마트폰으로 데이터 사용량에 대한 부담 없이 이용이 가능하도록 ‘제로레이팅(특정사이트 데이터 무과금)’으로 지원한다.,"이들 사이트는 일시적으로 ""제로 레이트""(특정 사이트 데이터의 경우 무료)를 지원하여 5월 말까지 일반 학생들이 데이터 사용에 대한 부담 없이 스마트폰을 사용할 수 있도록 합니다.",4.3,0.863238692,-131.1103058,-5.967245579,,,,,,
121,"친절한 주인, 훌륭한 위치. 추천합니다",친절한 주인과 편안한 숙소에 만족합니다,2.4,0.739838839,-168.4084473,-7.592068672,,,,,,
122,"접근성, 숙소내 청결도, 편안함 좋았습니다",숙소는 위치도 청결도도 시설도 아주 좋았습니다.,3.3,0.86785543,-120.9105606,-5.421601295,,,,,,
123,소품 하나 인테리어 하나 안 예쁜 게 없었습니다!,숙소가 깨끗함은물론 근처 편의점이나 지하철 위치 먹거리 어느하나 불편한게없었습니다,0,0.325115085,-265.4642334,-11.75452328,,,,,,
124,호스트는 친절하고 개인실은 편안합니다.,주인은 친절하고 개인실은 편안합니다.,4.5,0.904539943,-98.62756348,-4.489277363,,,,,,
125,정 총리는 이날 정부서울청사에서 열린 ‘코로나19 대응 감염병 전문가 간담회’에서 이 같이 말했다.,정은 서울 정부 청사에서 열린 코로나19에 대한 대응으로 전염병 전문가 회의에서 이같이 말했습니다.,3.7,0.877842188,-118.5594864,-5.380743504,,,,,,
126,인테리어와 주방시설 수납공간 모두 탁월했어요.,내부와 주방 수납공간이 모두 훌륭했습니다.,3,0.926793218,-91.50495911,-4.140127182,,,,,,
